Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Flagship,Warsun,Faction,Score,FleetSize,WinRate,Cost
2,0,0,1,0,1,0,Xxcha,31924.0,2.0,0.961566265060241,10.0
0,0,0,2,0,1,0,Xxcha,30238.5,3.0,0.9107981927710843,10.0
2,0,0,1,0,1,0,Mahact,28573.0,2.0,0.8606325301204819,10.0
4,1,0,1,1,0,0,Arborec,27706.0,3.0,0.8345180722891566,10.0
8,2,0,0,0,0,0,Arborec,27638.5,2.0,0.8324849397590361,10.0
0,0,1,0,0,1,0,Xxcha,26304.0,2.0,0.792289156626506,10.0
2,0,0,1,2,0,0,Arborec,25865.5,3.0,0.7790813253012048,10.0
0,0,0,2,0,1,0,Mahact,25860.0,3.0,0.7789156626506024,10.0
2,0,0,1,0,1,0,Cabal,25618.5,2.0,0.7716415662650602,10.0
6,2,0,1,0,0,0,Arborec,25553.0,3.0,0.7696686746987952,10.0
2,0,0,1,0,1,0,Empyrean,24878.5,2.0,0.7493524096385542,10.0
2,0,0,1,0,1,0,Saar,24768.5,2.0,0.746039156626506,10.0
2,0,0,1,0,1,0,Yssaril,24673.5,2.0,0.7431777108433735,10.0
2,0,0,1,0,1,0,L1Z1X,23801.5,2.0,0.7169126506024096,10.0
2,0,0,1,0,1,0,Sol,23715.5,2.0,0.7143222891566265,10.0
4,2,1,0,0,0,0,Arborec,23482.5,3.0,0.7073042168674699,10.0
2,0,0,1,0,1,0,Muaat,23360.0,2.0,0.7036144578313253,10.0
2,1,1,0,1,0,0,Arborec,23188.5,3.0,0.6984487951807229,10.0
2,0,0,1,0,1,0,Barony,23019.0,2.0,0.6933433734939759,10.0
0,0,0,2,0,1,0,Cabal,22052.0,3.0,0.6642168674698795,10.0
2,0,0,1,0,1,0,Jol-Nar,21804.0,2.0,0.6567469879518072,10.0
2,0,0,1,0,1,0,Sardakk,21621.5,2.0,0.65125,10.0
0,0,0,2,0,1,0,Empyrean,21306.0,3.0,0.6417469879518072,10.0
2,0,0,1,0,1,0,Yin,21212.0,2.0,0.6389156626506024,10.0
0,0,0,2,0,1,0,Yssaril,20986.0,3.0,0.6321084337349397,10.0
2,0,0,1,0,1,0,Nomad,20363.5,2.0,0.6133584337349398,10.0
0,0,0,2,0,1,0,Saar,20349.5,3.0,0.6129367469879518,10.0
0,0,0,2,0,1,0,L1Z1X,19917.0,3.0,0.5999096385542169,10.0
0,0,0,2,0,1,0,Yin,19576.0,3.0,0.5896385542168675,10.0
2,0,0,1,0,1,0,Keleres,19564.0,2.0,0.5892771084337349,10.0
2,0,0,1,0,1,0,Argent,19552.5,2.0,0.5889307228915662,10.0
2,0,0,1,0,1,0,Ul,19488.5,2.0,0.5870030120481927,10.0
0,0,1,0,0,1,0,Mahact,19429.0,2.0,0.5852108433734939,10.0
0,0,0,2,0,1,0,Sol,19353.5,3.0,0.5829367469879518,10.0
0,0,0,2,0,1,0,Muaat,19028.0,3.0,0.5731325301204819,10.0
0,0,1,0,0,1,0,Yin,18959.5,2.0,0.5710692771084337,10.0
0,0,0,2,0,1,0,Barony,18415.5,3.0,0.5546837349397591,10.0
2,0,0,1,0,1,0,Mentak,18257.0,2.0,0.5499096385542168,10.0
0,0,0,2,0,1,0,Sardakk,17750.0,3.0,0.5346385542168675,10.0
0,0,0,2,0,1,0,Jol-Nar,17725.0,3.0,0.5338855421686747,10.0
2,0,0,1,0,1,0,Hacan,17662.0,2.0,0.5319879518072289,10.0
2,0,0,1,0,1,0,Arborec,17098.0,2.0,0.515,10.0
0,0,1,0,2,0,0,Arborec,16888.0,3.0,0.5086746987951807,10.0
2,0,0,1,0,1,0,Ghost,16355.5,2.0,0.4926355421686747,10.0
0,0,1,0,0,1,0,Cabal,16043.0,2.0,0.4832228915662651,10.0
0,0,0,2,0,1,0,Nomad,15977.0,3.0,0.48123493975903614,10.0
0,0,0,2,0,1,0,Keleres,15657.0,3.0,0.47159638554216865,10.0
0,0,0,2,0,1,0,Ul,15315.5,3.0,0.4613102409638554,10.0
0,0,0,2,0,1,0,Argent,15288.0,3.0,0.4604819277108434,10.0
0,0,1,0,0,1,0,Empyrean,14858.5,2.0,0.44754518072289157,10.0
0,0,1,0,0,1,0,Yssaril,14359.5,2.0,0.43251506024096387,10.0
0,0,0,2,0,1,0,Mentak,13958.0,3.0,0.42042168674698793,10.0
0,0,1,0,0,1,0,Saar,13652.0,2.0,0.41120481927710845,10.0
0,0,0,2,0,1,0,Hacan,13270.5,3.0,0.39971385542168675,10.0
0,0,1,0,0,1,0,L1Z1X,13100.0,2.0,0.39457831325301207,10.0
0,0,0,2,0,1,0,Arborec,12678.5,3.0,0.3818825301204819,10.0
0,0,1,0,0,1,0,Sol,12626.0,2.0,0.3803012048192771,10.0
0,0,1,0,0,1,0,Muaat,12129.5,2.0,0.3653463855421687,10.0
0,0,0,2,0,1,0,Ghost,11876.5,3.0,0.35772590361445783,10.0
2,0,0,1,0,1,0,Winnu,11755.0,2.0,0.35406626506024097,10.0
0,0,1,0,0,1,0,Jol-Nar,11679.0,2.0,0.35177710843373494,10.0
0,0,1,0,0,1,0,Barony,11571.5,2.0,0.34853915662650603,10.0
0,0,1,0,0,1,0,Sardakk,11556.5,2.0,0.34808734939759034,10.0
0,0,1,0,0,1,0,Nomad,11040.0,2.0,0.3325301204819277,10.0
0,0,1,0,0,1,0,Keleres,10558.5,2.0,0.31802710843373494,10.0
0,2,0,0,1,0,0,Arborec,10425.0,3.0,0.31400602409638556,10.0
0,0,1,0,0,1,0,Ul,10283.5,2.0,0.30974397590361447,10.0
0,0,1,0,0,1,0,Argent,10106.0,2.0,0.30439759036144576,10.0
2,3,0,0,0,0,0,Arborec,9457.5,3.0,0.2848644578313253,10.0
2,0,0,1,0,1,0,NaazRokha,9114.0,2.0,0.27451807228915664,10.0
2,0,0,1,0,1,0,Nekro,8973.0,2.0,0.2702710843373494,10.0
2,0,0,1,0,1,0,Naalu,8950.0,2.0,0.26957831325301207,10.0
0,0,1,0,0,1,0,Mentak,8721.5,2.0,0.2626957831325301,10.0
0,0,1,0,0,1,0,Hacan,8107.5,2.0,0.24420180722891566,10.0
0,0,0,2,0,1,0,Winnu,7962.0,3.0,0.23981927710843373,10.0
0,0,1,0,0,1,0,Arborec,7502.5,2.0,0.2259789156626506,10.0
0,0,1,0,0,1,0,Ghost,7197.0,2.0,0.21677710843373493,10.0
0,0,0,2,0,1,0,NaazRokha,5808.5,3.0,0.17495481927710843,10.0
0,0,0,2,0,1,0,Nekro,5375.5,3.0,0.16191265060240964,10.0
0,0,0,2,0,1,0,Naalu,5327.0,3.0,0.16045180722891567,10.0
0,0,1,0,0,1,0,Winnu,4972.0,2.0,0.1497590361445783,10.0
0,0,1,0,0,1,0,NaazRokha,4414.0,2.0,0.13295180722891567,10.0
0,0,1,0,0,1,0,Nekro,3982.5,2.0,0.11995481927710844,10.0
0,0,1,0,0,1,0,Naalu,3889.0,2.0,0.11713855421686747,10.0
