Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Flagship,Warsun,Faction,Score,FleetSize,WinRate,Cost
2,0,0,2,0,1,0,Xxcha,40694.0,3.0,0.9597641509433962,11.0
2,0,1,0,0,1,0,Xxcha,40491.5,2.0,0.9549882075471698,11.0
0,0,1,1,0,1,0,Xxcha,37781.0,3.0,0.891061320754717,11.0
2,0,0,2,0,1,0,Mahact,37584.5,3.0,0.8864268867924529,11.0
8,2,0,1,0,0,0,Arborec,35363.0,3.0,0.8340330188679246,11.0
2,0,0,2,0,1,0,Cabal,34452.5,3.0,0.8125589622641509,11.0
4,1,1,0,1,0,0,Arborec,34382.0,3.0,0.8108962264150943,11.0
2,0,1,0,0,1,0,Mahact,34250.5,2.0,0.8077948113207547,11.0
2,0,0,2,0,1,0,Saar,33981.5,3.0,0.8014504716981132,11.0
6,2,1,0,0,0,0,Arborec,33816.5,3.0,0.7975589622641509,11.0
2,0,0,2,0,1,0,Empyrean,33672.0,3.0,0.7941509433962264,11.0
2,0,0,2,0,1,0,Yssaril,33472.5,3.0,0.7894457547169811,11.0
2,0,0,2,0,1,0,L1Z1X,32824.0,3.0,0.7741509433962264,11.0
2,0,0,2,0,1,0,Sol,32491.5,3.0,0.7663089622641509,11.0
2,0,0,2,0,1,0,Muaat,32118.5,3.0,0.7575117924528302,11.0
2,0,0,2,0,1,0,Barony,31749.0,3.0,0.7487971698113207,11.0
2,0,1,0,2,0,0,Arborec,30697.5,3.0,0.7239976415094339,11.0
2,0,1,0,0,1,0,Saar,30489.5,2.0,0.7190919811320755,11.0
2,0,1,0,0,1,0,Cabal,30418.5,2.0,0.7174174528301887,11.0
2,0,0,2,0,1,0,Jol-Nar,30235.5,3.0,0.7131014150943397,11.0
2,0,0,2,0,1,0,Sardakk,30035.0,3.0,0.7083726415094339,11.0
0,0,1,1,0,1,0,Mahact,29928.5,3.0,0.7058608490566037,11.0
2,0,1,0,0,1,0,Empyrean,29516.0,2.0,0.6961320754716981,11.0
0,1,0,0,0,1,0,Xxcha,29291.0,2.0,0.6908254716981133,11.0
2,0,1,0,0,1,0,Yssaril,29196.5,2.0,0.6885966981132076,11.0
2,0,0,2,0,1,0,Yin,28507.0,3.0,0.6723349056603773,11.0
2,0,0,2,0,1,0,Nomad,28333.0,3.0,0.6682311320754717,11.0
2,0,1,0,0,1,0,Yin,28212.0,2.0,0.665377358490566,11.0
2,0,1,0,0,1,0,L1Z1X,28157.5,2.0,0.6640919811320755,11.0
2,0,1,0,0,1,0,Sol,27779.0,2.0,0.6551650943396227,11.0
2,0,0,2,0,1,0,Argent,27472.0,3.0,0.6479245283018867,11.0
2,0,1,0,0,1,0,Muaat,27441.0,2.0,0.6471933962264151,11.0
2,0,0,2,0,1,0,Keleres,27407.5,3.0,0.6464033018867924,11.0
2,0,0,2,0,1,0,Ul,27172.5,3.0,0.6408608490566038,11.0
2,0,1,0,0,1,0,Barony,26986.0,2.0,0.6364622641509434,11.0
0,0,1,1,0,1,0,Yin,26053.0,3.0,0.6144575471698113,11.0
2,0,0,2,0,1,0,Mentak,25840.0,3.0,0.6094339622641509,11.0
2,0,1,0,0,1,0,Jol-Nar,25818.5,2.0,0.6089268867924529,11.0
0,0,1,1,0,1,0,Cabal,25763.5,3.0,0.6076297169811321,11.0
2,0,1,0,0,1,0,Sardakk,25722.5,2.0,0.6066627358490566,11.0
2,0,0,2,0,1,0,Hacan,25578.5,3.0,0.6032665094339623,11.0
2,0,1,0,0,1,0,Nomad,25241.5,2.0,0.5953183962264151,11.0
0,0,1,1,0,1,0,Empyrean,24583.5,3.0,0.5797995283018867,11.0
2,0,0,2,0,1,0,Arborec,24580.0,3.0,0.5797169811320755,11.0
0,0,1,1,0,1,0,Saar,24454.0,3.0,0.576745283018868,11.0
0,0,1,1,0,1,0,Yssaril,24159.5,3.0,0.5697995283018867,11.0
2,0,0,2,0,1,0,Ghost,23713.0,3.0,0.5592688679245283,11.0
2,0,1,0,0,1,0,Keleres,23643.0,2.0,0.5576179245283018,11.0
2,0,1,0,0,1,0,Argent,23555.0,2.0,0.5555424528301887,11.0
2,0,1,0,0,1,0,Ul,23389.5,2.0,0.5516391509433962,11.0
0,0,1,1,0,1,0,L1Z1X,22786.5,3.0,0.5374174528301887,11.0
0,1,0,0,0,1,0,Yin,22408.5,2.0,0.528502358490566,11.0
0,0,1,1,0,1,0,Sol,22334.0,3.0,0.5267452830188679,11.0
2,0,1,0,0,1,0,Mentak,21972.5,2.0,0.5182193396226416,11.0
0,0,1,1,0,1,0,Muaat,21887.0,3.0,0.5162028301886793,11.0
2,2,0,0,1,0,0,Arborec,21497.0,3.0,0.507004716981132,11.0
2,0,1,0,0,1,0,Hacan,21479.0,2.0,0.5065801886792453,11.0
0,0,1,1,0,1,0,Barony,21389.0,3.0,0.5044575471698113,11.0
2,0,1,0,0,1,0,Arborec,20652.0,2.0,0.4870754716981132,11.0
0,0,1,1,0,1,0,Jol-Nar,20550.5,3.0,0.4846816037735849,11.0
0,0,1,1,0,1,0,Sardakk,20521.5,3.0,0.483997641509434,11.0
0,0,1,1,0,1,0,Nomad,19821.0,3.0,0.4674764150943396,11.0
2,0,1,0,0,1,0,Ghost,19804.5,2.0,0.46708726415094337,11.0
4,3,0,0,0,0,0,Arborec,19058.5,3.0,0.44949292452830186,11.0
0,1,0,0,0,1,0,Mahact,18872.0,2.0,0.4450943396226415,11.0
0,0,1,1,0,1,0,Keleres,18649.5,3.0,0.43984669811320753,11.0
0,0,1,1,0,1,0,Argent,18191.0,3.0,0.42903301886792455,11.0
0,0,1,1,0,1,0,Ul,18102.5,3.0,0.42694575471698115,11.0
2,0,0,2,0,1,0,Winnu,18076.5,3.0,0.42633254716981134,11.0
0,0,1,1,0,1,0,Mentak,16666.0,3.0,0.3930660377358491,11.0
0,0,1,1,0,1,0,Hacan,16028.5,3.0,0.3780306603773585,11.0
0,1,0,0,2,0,0,Arborec,15910.0,3.0,0.3752358490566038,11.0
2,0,1,0,0,1,0,Winnu,15638.0,2.0,0.3688207547169811,11.0
0,0,1,1,0,1,0,Arborec,15228.0,3.0,0.35915094339622644,11.0
2,0,0,2,0,1,0,NaazRokha,14738.0,3.0,0.3475943396226415,11.0
0,0,1,1,0,1,0,Ghost,14558.0,3.0,0.3433490566037736,11.0
0,1,0,0,0,1,0,Cabal,14427.5,2.0,0.34027122641509433,11.0
2,0,0,2,0,1,0,Nekro,14311.5,3.0,0.33753537735849054,11.0
2,0,0,2,0,1,0,Naalu,14243.0,3.0,0.3359198113207547,11.0
2,0,1,0,0,1,0,NaazRokha,13971.0,2.0,0.3295047169811321,11.0
2,0,1,0,0,1,0,Naalu,13544.5,2.0,0.3194457547169811,11.0
2,0,1,0,0,1,0,Nekro,13423.5,2.0,0.3165919811320755,11.0
0,1,0,0,0,1,0,Empyrean,13401.0,2.0,0.316061320754717,11.0
0,1,0,0,0,1,0,Yssaril,13142.5,2.0,0.3099646226415094,11.0
0,1,0,0,0,1,0,Saar,12482.0,2.0,0.29438679245283017,11.0
0,1,0,0,0,1,0,L1Z1X,11732.0,2.0,0.27669811320754717,11.0
0,1,0,0,0,1,0,Sol,11229.0,2.0,0.2648349056603774,11.0
0,1,0,0,0,1,0,Muaat,10891.5,2.0,0.256875,11.0
0,0,1,1,0,1,0,Winnu,10840.0,3.0,0.25566037735849056,11.0
0,1,0,0,0,1,0,Barony,10350.0,2.0,0.24410377358490565,11.0
0,1,0,0,0,1,0,Jol-Nar,10012.0,2.0,0.23613207547169812,11.0
0,1,0,0,0,1,0,Sardakk,9887.0,2.0,0.23318396226415095,11.0
0,0,1,1,0,1,0,NaazRokha,9683.0,3.0,0.22837264150943395,11.0
0,1,0,0,0,1,0,Nomad,9104.5,2.0,0.21472877358490566,11.0
0,0,1,1,0,1,0,Nekro,9024.5,3.0,0.21284198113207548,11.0
