Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Flagship,Warsun,Faction,Score,FleetSize,WinRate,Cost
4,1,1,1,0,0,0,Arborec,12555.0,3.0,0.9511363636363637,8.0
2,1,2,0,0,0,0,Arborec,11931.0,3.0,0.9038636363636363,8.0
2,1,0,0,1,0,0,Arborec,11189.5,2.0,0.8476893939393939,8.0
0,0,2,0,1,0,0,Arborec,10766.0,3.0,0.8156060606060606,8.0
4,2,0,0,0,0,0,Arborec,10543.0,2.0,0.7987121212121212,8.0
0,0,0,0,0,1,0,Xxcha,9861.0,1.0,0.7470454545454546,8.0
0,1,0,1,1,0,0,Arborec,9685.5,3.0,0.73375,8.0
2,2,0,1,0,0,0,Arborec,9254.0,3.0,0.701060606060606,8.0
0,0,0,0,0,1,0,Mahact,8610.0,1.0,0.6522727272727272,8.0
0,0,0,0,0,1,0,Cabal,8125.0,1.0,0.615530303030303,8.0
0,0,0,0,0,1,0,Yin,8068.0,1.0,0.6112121212121212,8.0
0,0,0,0,2,0,0,Arborec,8012.0,2.0,0.6069696969696969,8.0
0,2,1,0,0,0,0,Arborec,7930.0,3.0,0.6007575757575757,8.0
0,0,0,0,0,1,0,Empyrean,7179.5,1.0,0.5439015151515152,8.0
0,0,0,0,0,1,0,Yssaril,6728.0,1.0,0.5096969696969696,8.0
0,0,0,0,0,1,0,Keleres,6217.5,1.0,0.47102272727272726,8.0
0,0,0,0,0,1,0,Ul,5850.5,1.0,0.443219696969697,8.0
0,0,0,0,0,1,0,Nomad,5736.0,1.0,0.43454545454545457,8.0
0,0,0,0,0,1,0,L1Z1X,5679.5,1.0,0.4302651515151515,8.0
0,0,0,0,0,1,0,Jol-Nar,5610.5,1.0,0.4250378787878788,8.0
0,0,0,0,0,1,0,Sardakk,5489.0,1.0,0.41583333333333333,8.0
0,0,0,0,0,1,0,Argent,5474.0,1.0,0.4146969696969697,8.0
0,0,0,0,0,1,0,Sol,5169.5,1.0,0.39162878787878785,8.0
0,0,0,0,0,1,0,Muaat,4875.5,1.0,0.36935606060606063,8.0
0,0,0,0,0,1,0,Saar,4701.5,1.0,0.35617424242424245,8.0
0,0,0,0,0,1,0,Barony,4381.5,1.0,0.33193181818181816,8.0
0,0,0,0,0,1,0,Mentak,4368.0,1.0,0.33090909090909093,8.0
0,0,0,0,0,1,0,Ghost,3897.5,1.0,0.29526515151515154,8.0
0,0,0,0,0,1,0,Hacan,3682.0,1.0,0.27893939393939393,8.0
0,0,0,0,0,1,0,Winnu,3317.0,1.0,0.2512878787878788,8.0
0,0,0,0,0,1,0,Arborec,2917.0,1.0,0.22098484848484848,8.0
0,0,0,0,0,1,0,NaazRokha,2568.0,1.0,0.19454545454545455,8.0
0,0,0,0,0,1,0,Naalu,2019.5,1.0,0.15299242424242424,8.0
0,0,0,0,0,1,0,Nekro,2008.5,1.0,0.1521590909090909,8.0
